ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
325498,1,M,48,0615C0,DD,05,300  ,300  ,3,1,2004-05-08 00:00:00.0000000,2022-06-10 00:00:00.0000000,1,1,0615C0
325498,1,M,48,0615C0,DD,05,300  ,300  ,3,1,2004-05-08 00:00:00.0000000,2022-06-10 00:00:00.0000000,1,1,0615C0
325498,1,M,48,0615C0,DD,05,300  ,300  ,3,1,2004-05-08 00:00:00.0000000,2022-06-10 00:00:00.0000000,1,1,0615C0
325498,1,M,48,0615C0,DD,05,300  ,300  ,3,1,2004-05-08 00:00:00.0000000,2022-06-10 00:00:00.0000000,1,1,0615C0
715285,0,F,46,060000,DD,  ,407  ,407  ,3,1,2005-12-30 00:00:00.0000000,2020-03-10 00:00:00.0000000,0,1,0615F0
715285,0,F,46,060000,DD,  ,407  ,407  ,3,1,2005-12-30 00:00:00.0000000,2020-03-10 00:00:00.0000000,0,1,0615F0
216844,1,M,45,061700,DD,  ,911  ,330  ,0,1,2004-05-08 00:00:00.0000000,2022-06-14 00:00:00.0000000,0,1,061700
216844,1,M,45,061700,DD,  ,911  ,330  ,0,1,2004-05-08 00:00:00.0000000,2022-06-14 00:00:00.0000000,0,1,061700
1377148,1,F,23,060000,DD,05,401  ,401  ,3,0,2020-03-13 00:00:00.0000000,2022-09-24 00:00:00.0000000,1,0,061500
1077389,1,F,64,061700,DD,  ,600  ,600  ,3,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
1168288,1,M,47,060000,CC,03,625  ,108  ,1,0,2006-03-31 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
1168288,1,M,47,060000,CC,03,625  ,108  ,1,0,2006-03-31 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
1168288,1,M,47,060000,CC,03,625  ,108  ,1,0,2006-03-31 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
1168288,1,M,47,060000,CC,03,625  ,108  ,1,0,2006-03-31 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
548443,1,M,27,060000,DD,09,433  ,433  ,0, ,2020-12-22 00:00:00.0000000,2021-10-05 00:00:00.0000000,1,0,0615F0
548443,1,M,27,060000,DD,09,433  ,433  ,0, ,2020-12-22 00:00:00.0000000,2021-10-05 00:00:00.0000000,1,0,0615F0
2352717,1,M,58,060000,BB,05,108  ,108  ,3,0,2017-05-23 00:00:00.0000000,2021-10-20 00:00:00.0000000,0,0,0615F0
2352717,1,M,58,060000,BB,05,108  ,108  ,3,0,2017-05-23 00:00:00.0000000,2021-10-20 00:00:00.0000000,0,0,0615F0
2352717,1,M,58,060000,BB,05,108  ,108  ,3,0,2017-05-23 00:00:00.0000000,2021-10-20 00:00:00.0000000,0,0,0615F0
1979615,1,F,47,060000,DD,01,982  ,920  ,1,1,2011-07-13 00:00:00.0000000,2023-03-01 00:00:00.0000000,1,0,0615G0
404153,1,M,29,060000,CC,05,330  ,330  ,3,0,2016-11-02 00:00:00.0000000,2022-04-07 00:00:00.0000000,1,0,0615C0
404153,1,M,29,060000,CC,05,330  ,330  ,3,0,2016-11-02 00:00:00.0000000,2022-04-07 00:00:00.0000000,1,0,0615C0
2161048,1,M,44,061700,DD,  ,     ,112  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
1636598,1,F,48,060000,DD,  ,338  ,338  ,1,0,2004-05-08 00:00:00.0000000,2018-01-30 00:00:00.0000000,1,1,0615C0
2333382,1,F,63,060000,AA,05,335  ,335  ,3,0,2004-05-08 00:00:00.0000000,2023-03-31 00:00:00.0000000,0,1,0615J0
2333382,1,F,63,060000,AA,05,335  ,335  ,3,0,2004-05-08 00:00:00.0000000,2023-03-31 00:00:00.0000000,0,1,0615J0
2333382,1,F,63,060000,AA,05,335  ,335  ,3,0,2004-05-08 00:00:00.0000000,2023-03-31 00:00:00.0000000,0,1,0615J0
2333382,1,F,63,060000,AA,05,335  ,335  ,3,0,2004-05-08 00:00:00.0000000,2023-03-31 00:00:00.0000000,0,1,0615J0
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
2069251,1,F,68,060000,AA,05,625  ,108  ,3,0,2004-05-08 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,1,061500
1737444,1,F,22,060000,CC,05,330  ,330  ,3,0,2019-10-16 00:00:00.0000000,2023-06-14 00:00:00.0000000,0,0,0615F0
40588,0,F,44,060000,DD,01,239  ,239  ,3,0,2015-03-10 00:00:00.0000000,2022-08-03 00:00:00.0000000,0,0,0615J0
1304957,1,F,48,060000,BB,05,108  ,108  ,3, ,2004-05-08 00:00:00.0000000,2023-05-31 00:00:00.0000000,1,1,0615F0
1304957,1,F,48,060000,BB,05,108  ,108  ,3, ,2004-05-08 00:00:00.0000000,2023-05-31 00:00:00.0000000,1,1,0615F0
1304957,1,F,48,060000,BB,05,108  ,108  ,3, ,2004-05-08 00:00:00.0000000,2023-05-31 00:00:00.0000000,1,1,0615F0
1400177,1,M,40,060000,DD,05,112  ,112  ,3,0,2008-05-22 00:00:00.0000000,2022-04-30 00:00:00.0000000,0,0,0615E0
1400177,1,M,40,060000,DD,05,112  ,112  ,3,0,2008-05-22 00:00:00.0000000,2022-04-30 00:00:00.0000000,0,0,0615E0
1406890,0,M,36,060000,BB,  ,900  ,900  ,3,0,2005-12-30 00:00:00.0000000,2022-03-04 00:00:00.0000000,0,1,0615C0
1406890,0,M,36,060000,BB,  ,900  ,900  ,3,0,2005-12-30 00:00:00.0000000,2022-03-04 00:00:00.0000000,0,1,0615C0
1406890,0,M,36,060000,BB,  ,900  ,900  ,3,0,2005-12-30 00:00:00.0000000,2022-03-04 00:00:00.0000000,0,1,0615C0
452966,0,M,37,060000,BB,  ,904  ,904  ,3,0,2005-12-30 00:00:00.0000000,2021-12-10 00:00:00.0000000,1,1,0615G0
452966,0,M,37,060000,BB,  ,904  ,904  ,3,0,2005-12-30 00:00:00.0000000,2021-12-10 00:00:00.0000000,1,1,0615G0
452966,0,M,37,060000,BB,  ,904  ,904  ,3,0,2005-12-30 00:00:00.0000000,2021-12-10 00:00:00.0000000,1,1,0615G0
1987176,1,F,55,060000,BB,05,710  ,710  ,3,0,2023-03-15 00:00:00.0000000,2023-04-08 00:00:00.0000000,1,0,061610
1575551,0,M,52,060000,CC,  ,401  ,401  ,3,0,2018-01-31 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,0,0615E0
985885,1,F,46,060000,DD,  ,334  ,334  ,3,1,2004-05-08 00:00:00.0000000,2023-06-01 00:00:00.0000000,0,1,0615G0
2311954,1,F,53,060000,DD,05,600  ,600  ,3,0,2017-07-31 00:00:00.0000000,2021-10-05 00:00:00.0000000,0,0,0615G0
2564950,1,M,20,060000,DD,05,408  ,401  ,4,0,2018-09-13 00:00:00.0000000,2023-01-05 00:00:00.0000000,0,0,061410
951731,1,F,42,060000,DD,05,108  ,108  ,1,0,2015-11-13 00:00:00.0000000,2023-02-08 00:00:00.0000000,0,0,061500
679489,1,F,46,060000,DD,05,408  ,401  ,3, ,2021-02-19 00:00:00.0000000,2021-05-04 00:00:00.0000000,1,0,061500
679489,1,F,46,060000,DD,05,408  ,401  ,3, ,2021-02-19 00:00:00.0000000,2021-05-04 00:00:00.0000000,1,0,061500
513264,0,M,54,060000,CC,09,623  ,407  ,3, ,2004-06-30 00:00:00.0000000,2021-11-03 00:00:00.0000000,1,1,0615G0
513264,0,M,54,060000,CC,09,623  ,407  ,3, ,2004-06-30 00:00:00.0000000,2021-11-03 00:00:00.0000000,1,1,0615G0
513264,0,M,54,060000,CC,09,623  ,407  ,3, ,2004-06-30 00:00:00.0000000,2021-11-03 00:00:00.0000000,1,1,0615G0
2128094,0,M,64,060000,AA,  ,315  ,904  ,0, ,2005-12-30 00:00:00.0000000,2023-06-30 00:00:00.0000000,1,1,061700
2128094,0,M,64,060000,AA,  ,315  ,904  ,0, ,2005-12-30 00:00:00.0000000,2023-06-30 00:00:00.0000000,1,1,061700
2128094,0,M,64,060000,AA,  ,315  ,904  ,0, ,2005-12-30 00:00:00.0000000,2023-06-30 00:00:00.0000000,1,1,061700
2128094,0,M,64,060000,AA,  ,315  ,904  ,0, ,2005-12-30 00:00:00.0000000,2023-06-30 00:00:00.0000000,1,1,061700
2057116,1,M,43,060000,DD,  ,100  ,108  ,1,1,2004-05-14 00:00:00.0000000,2022-07-05 00:00:00.0000000,0,1,0615F0
2057116,1,M,43,060000,DD,  ,100  ,108  ,1,1,2004-05-14 00:00:00.0000000,2022-07-05 00:00:00.0000000,0,1,0615F0
1473968,1,F,45,060000,CC,01,337  ,320  ,3,0,2004-05-08 00:00:00.0000000,2022-10-05 00:00:00.0000000,1,1,061500
1473968,1,F,45,060000,CC,01,337  ,320  ,3,0,2004-05-08 00:00:00.0000000,2022-10-05 00:00:00.0000000,1,1,061500
1596142,1,M,62,0615F0,CC,03,625  ,407  ,3,0,2013-05-23 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615F0
2608185,0,F,30,060000,BB,  ,904  ,904  ,3,0,2005-12-30 00:00:00.0000000,2021-12-10 00:00:00.0000000,1,1,0615G0
2608185,0,F,30,060000,BB,  ,904  ,904  ,3,0,2005-12-30 00:00:00.0000000,2021-12-10 00:00:00.0000000,1,1,0615G0
2608185,0,F,30,060000,BB,  ,904  ,904  ,3,0,2005-12-30 00:00:00.0000000,2021-12-10 00:00:00.0000000,1,1,0615G0
72992,1,M,51,060000,DD,05,302  ,302  ,3, ,2022-07-12 00:00:00.0000000,2022-12-15 00:00:00.0000000,1,0,061500
72992,1,M,51,060000,DD,05,302  ,302  ,3, ,2022-07-12 00:00:00.0000000,2022-12-15 00:00:00.0000000,1,0,061500
1276563,1,M,35,060000,DD,03,811  ,811  ,3,0,2012-11-27 00:00:00.0000000,2023-02-18 00:00:00.0000000,0,0,0615F0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1676200,1,M,58,060000,BB,01,330  ,330  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1392416,1,M,31,060000,DD,05,830  ,830  ,3,0,2018-11-01 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,0,061620
617616,1,F,45,060000,BB,01,103  ,103  ,1, ,2004-05-08 00:00:00.0000000,2023-03-03 00:00:00.0000000,0,1,0615G0
617616,1,F,45,060000,BB,01,103  ,103  ,1, ,2004-05-08 00:00:00.0000000,2023-03-03 00:00:00.0000000,0,1,0615G0
617616,1,F,45,060000,BB,01,103  ,103  ,1, ,2004-05-08 00:00:00.0000000,2023-03-03 00:00:00.0000000,0,1,0615G0
617616,1,F,45,060000,BB,01,103  ,103  ,1, ,2004-05-08 00:00:00.0000000,2023-03-03 00:00:00.0000000,0,1,0615G0
1637552,1,F,30,060000,BB,05,330  ,330  ,3,0,2018-03-29 00:00:00.0000000,2023-06-27 00:00:00.0000000,1,0,0615F0
1637552,1,F,30,060000,BB,05,330  ,330  ,3,0,2018-03-29 00:00:00.0000000,2023-06-27 00:00:00.0000000,1,0,0615F0
952989,0,M,48,061500,DD,01,302  ,302  ,3,1,2005-12-30 00:00:00.0000000,2015-10-12 00:00:00.0000000,0,1,061500
64733,1,F,42,060000,DD,05,412  ,412  ,0,0,2011-04-14 00:00:00.0000000,2021-07-30 00:00:00.0000000,0,0,0615F0
64733,1,F,42,060000,DD,05,412  ,412  ,0,0,2011-04-14 00:00:00.0000000,2021-07-30 00:00:00.0000000,0,0,0615F0
1886830,1,M,67,060000,DD,05,108  ,108  ,1,0,2007-11-09 00:00:00.0000000,2020-08-04 00:00:00.0000000,0,0,061500
1886830,1,M,67,060000,DD,05,108  ,108  ,1,0,2007-11-09 00:00:00.0000000,2020-08-04 00:00:00.0000000,0,0,061500
1886830,1,M,67,060000,DD,05,108  ,108  ,1,0,2007-11-09 00:00:00.0000000,2020-08-04 00:00:00.0000000,0,0,061500
1160326,1,F,40,060000,DD,05,330  ,330  ,3,0,2014-12-29 00:00:00.0000000,2022-08-23 00:00:00.0000000,1,0,061500
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1384241,1,M,28,060000,DD,05,247  ,247  ,0,0,2011-07-13 00:00:00.0000000,2022-06-21 00:00:00.0000000,1,0,061610
1384241,1,M,28,060000,DD,05,247  ,247  ,0,0,2011-07-13 00:00:00.0000000,2022-06-21 00:00:00.0000000,1,0,061610
24710,1,M,32,060000,DD,05,235  ,220  ,3,0,2023-03-07 00:00:00.0000000,2023-03-13 00:00:00.0000000,1,0,0615F0
24710,1,M,32,060000,DD,05,235  ,220  ,3,0,2023-03-07 00:00:00.0000000,2023-03-13 00:00:00.0000000,1,0,0615F0
24710,1,M,32,060000,DD,05,235  ,220  ,3,0,2023-03-07 00:00:00.0000000,2023-03-13 00:00:00.0000000,1,0,0615F0
1228832,1,M,18,060000,DD,05,413  ,413  ,3,0,2021-11-03 00:00:00.0000000,2022-06-03 00:00:00.0000000,1,0,061410
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
